player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Garrett Greene,123420,QB,W VIRGINIA,1,23.33,0,50,343,61.8,34,38,10.6,3.45,0,0,0.0,47.4,18,22,14.3,49,98.0,3,12,,,,,73.4,64.1,78.1,,45.0,,84.0,,,0,1,53,18.2,73.2,8.2,4,7,0,4,2,2,3.8,229,6.0,61.5,26,30,10.0,3.35,0,0,0.0,43.3,13,18,18.8,39,78.0,3,8,,,,,73.1,71.0,77.5,,48.7,,86.2,,,0,1,41,16.7,56.5,7.7,3,6,0,4,1,1,2.4,152,5.1,66.7,9,9,10.9,3.7,0,0,0.0,66.7,6,4,0.0,11,22.0,0,4,,,,,66.0,43.5,71.0,,45.5,,57.3,,,0,0,13,25.0,134.0,9.1,1,1,0,0,1,1,7.7,85,9.4,0,100.0,1,1,-4.0,2.2,0,0,0.0,100.0,1,0,0.0,1,2.0,0,0,,,,,60.3,60.6,63.6,,60.4,,,,,0,0,1,,100.0,0.0,0,0,0,0,0,0,0.0,8,8.0,4.37
Isaac Wilson,183872,QB,UTAH,1,15.32,0,48,328,54.8,31,34,11.0,3.17,0,1,2.9,47.1,16,17,5.9,42,87.5,1,12,,,,,22.8,44.7,76.4,,45.7,,53.1,,,3,3,42,23.5,51.5,9.5,4,4,0,0,2,6,14.3,223,6.6,58.8,34,37,7.8,3.01,0,0,0.0,51.4,19,18,5.0,44,91.7,1,10,,,,,23.2,36.3,76.5,,35.5,,55.1,,,3,3,44,22.2,32.8,9.1,4,3,0,0,0,6,13.6,193,5.2,66.7,3,3,18.0,3.4,0,1,33.3,66.7,2,1,0.0,4,8.3,0,2,,,,,63.8,91.2,68.1,,93.2,,57.3,,,0,0,5,0.0,149.3,0.0,0,1,0,0,2,0,0.0,43,14.3,0,83.3,6,6,-3.7,2.13,0,0,0.0,83.3,5,2,0.0,6,12.5,0,0,,,,,64.6,58.3,69.1,,58.1,,,,,0,0,7,0.0,79.2,0.0,0,0,0,0,0,0,0.0,13,2.2,9.11
Jalen Kitna,146688,QB,UAB,1,5.38,0,47,321,65.5,29,30,13.6,3.11,0,2,6.5,53.3,16,13,15.8,34,72.3,3,11,,,,,30.4,62.4,14.6,,65.3,60.0,56.1,,,1,2,35,23.1,60.4,8.8,3,1,0,0,1,3,8.6,220,7.3,76.7,30,31,7.8,2.46,0,2,6.3,61.3,19,7,17.4,33,70.2,4,8,,,,,69.5,73.9,13.9,,76.1,60.0,59.7,,,1,2,34,28.6,62.4,6.1,2,0,0,0,1,1,2.9,189,6.1,66.7,12,12,9.6,3.11,0,0,0.0,66.7,8,6,0.0,14,29.8,0,4,,,,,20.6,45.2,71.2,,47.1,,57.3,,,0,0,14,16.7,79.9,7.1,1,1,0,0,0,2,14.3,64,5.3,0,92.3,13,13,-3.5,1.47,0,0,0.0,84.6,11,0,8.3,13,27.7,1,1,,,,,66.0,68.8,71.0,,68.4,,,,,0,0,13,,79.2,0.0,0,0,0,0,0,0,0.0,33,2.5,-0.77
Aidan Chiles,173727,QB,MICH STATE,1,-16.61,0,46,223,67.6,34,38,8.8,3.29,1,0,0.0,60.5,23,18,0.0,44,95.7,0,12,,,,,72.0,63.1,0.0,,58.6,,74.4,,,0,0,46,22.2,98.1,9.1,4,2,0,3,2,0,0.0,256,6.7,66.7,27,29,7.3,3.06,0,0,0.0,62.1,18,15,0.0,34,73.9,0,8,,,,,71.7,60.6,18.4,,52.7,,74.4,,,0,0,35,20.0,101.1,8.8,3,2,0,2,2,0,0.0,169,5.8,66.7,9,11,11.6,3.68,1,0,0.0,45.5,5,3,16.7,12,26.1,1,4,,,,,66.0,65.2,0.0,,68.9,,,,,0,0,13,33.3,72.9,8.3,1,0,0,1,0,0,0.0,87,7.9,0,50.0,2,2,1.0,1.7,0,0,0.0,0.0,0,0,100.0,2,4.3,1,0,,,,,61.8,54.4,65.5,,54.6,,,,,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,2.08
Shedeur Sanders,131396,QB,COLORADO,1,3.0,0,46,143,79.2,24,27,13.1,3.66,0,2,6.9,70.4,19,14,0.0,31,67.4,0,12,,,,,29.7,84.8,75.8,,90.6,60.0,45.4,,,0,1,33,14.3,128.8,6.5,2,2,0,3,3,0,0.0,301,11.1,79.2,24,25,11.8,3.12,0,2,7.4,72.0,18,11,5.3,27,58.7,1,10,,,,,28.6,86.1,75.5,,90.5,,47.4,,,0,1,29,9.1,130.2,3.7,1,1,0,1,3,0,0.0,271,10.8,85.7,14,16,-0.5,3.06,0,0,0.0,75.0,12,6,0.0,19,41.3,0,4,,,,,67.0,61.3,72.4,,64.0,60.0,57.3,,,0,0,19,33.3,82.3,10.5,2,1,0,2,0,0,0.0,68,4.3,0,85.7,14,14,-2.7,1.92,0,0,0.0,78.6,11,3,8.3,15,32.6,1,2,,,,,66.4,60.2,71.4,,59.9,,,,,0,0,15,33.3,79.2,6.7,1,0,0,0,0,0,0.0,38,2.7,-6.59
Ashton Daniels,157259,QB,STANFORD,1,27.5,0,45,300,77.8,27,30,9.0,3.08,0,2,5.6,66.7,20,23,4.8,42,93.3,1,13,,,,,46.7,67.7,77.3,,71.6,60.0,57.1,,,0,1,50,21.7,118.2,11.9,5,7,0,3,3,3,6.0,296,9.9,69.6,23,25,8.7,2.99,0,2,6.7,60.0,15,17,6.3,35,77.8,1,10,,,,,44.1,62.7,76.8,,64.4,60.0,58.4,,,0,1,42,23.5,100.6,11.4,4,6,0,2,2,3,7.1,231,9.2,100.0,7,8,5.1,2.89,0,0,0.0,87.5,7,6,0.0,10,22.2,0,3,,,,,65.6,76.9,70.4,,80.9,,57.3,,,0,0,11,16.7,141.1,10.0,1,1,0,1,1,0,0.0,67,8.4,0,66.7,3,3,-2.0,1.43,0,0,0.0,66.7,2,0,0.0,3,6.7,0,0,,,,,62.7,56.0,66.6,,56.0,,,,,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,2,0.7,-0.86
Evan Simon,129906,QB,TEMPLE,1,-2.12,0,44,306,66.7,27,32,8.4,3.29,2,2,6.1,56.3,18,18,0.0,35,79.5,0,11,,,,,71.3,66.3,77.0,,70.5,,52.5,,,0,0,36,5.6,74.3,2.9,1,2,0,3,0,1,2.8,195,6.1,69.6,23,27,5.7,2.92,1,1,3.7,59.3,16,14,0.0,29,65.9,0,9,,,,,71.1,66.1,76.7,,71.2,,52.5,,,0,0,29,0.0,78.0,0.0,0,2,0,3,0,0,0.0,172,6.4,76.9,13,14,5.2,2.87,1,1,5.9,57.1,8,4,20.0,15,34.1,2,2,,,,,66.8,64.0,72.0,,63.6,,,,,0,0,18,25.0,63.4,6.7,1,0,0,0,0,1,5.6,46,3.3,0,88.9,9,9,-3.1,1.41,0,0,0.0,66.7,6,0,25.0,9,20.5,2,0,,,,,65.6,62.8,70.4,,62.5,,,,,0,0,11,,70.1,0.0,0,0,0,0,0,0,0.0,23,2.6,-3.08
Jack Lausch,162845,QB,NWESTERN,1,14.29,0,44,256,70.4,27,32,9.7,3.18,0,2,6.1,56.3,18,22,5.3,41,93.2,1,9,,,,,24.5,59.3,76.5,,65.6,,50.0,,,0,0,42,18.2,73.2,9.8,4,5,0,5,0,3,7.1,186,5.8,70.8,24,28,8.5,3.13,0,2,6.9,57.1,16,19,5.9,36,81.8,1,9,,,,,23.5,59.8,76.2,,65.4,,51.3,,,0,0,37,21.1,75.4,11.1,4,4,0,4,0,3,8.1,173,6.2,83.3,6,7,8.3,2.71,0,0,0.0,71.4,5,4,0.0,8,18.2,0,1,,,,,64.9,58.5,69.8,,64.5,54.3,57.3,,,0,0,8,0.0,78.3,0.0,0,1,0,1,0,0,0.0,28,4.0,0,100.0,3,3,-3.3,1.37,0,0,0.0,100.0,3,1,0.0,3,6.8,0,1,,,,,62.7,60.3,67.4,,63.9,54.3,,,,0,0,3,0.0,87.5,0.0,0,0,0,0,0,0,0.0,15,5.0,-2.18
Nico Iamaleava,174728,QB,TENNESSEE,1,-25.56,0,43,307,68.0,25,28,9.6,3.11,1,0,0.0,53.6,15,17,11.8,38,88.4,2,10,,,,,70.3,58.3,77.0,,58.6,,57.5,,,1,0,40,29.4,67.4,13.2,5,5,0,1,0,1,2.5,139,5.0,76.5,17,18,6.6,3.25,0,0,0.0,72.2,13,10,0.0,24,55.8,0,7,,,,,69.4,62.6,76.1,,62.3,,59.6,,,1,0,25,20.0,89.1,8.3,2,4,0,0,0,1,4.0,116,6.4,69.2,13,15,9.4,2.62,1,0,0.0,46.7,7,7,22.2,19,44.2,2,3,,,,,67.1,55.6,72.4,,57.4,,57.3,,,0,0,20,42.9,55.1,15.8,3,1,0,1,0,0,0.0,51,3.4,0,100.0,5,5,-1.0,1.9,0,0,0.0,100.0,5,0,0.0,5,11.6,0,0,,,,,63.8,65.7,68.1,,65.5,,,,,0,0,5,,90.0,0.0,0,0,0,0,0,0,0.0,28,5.6,-3.04
Noah Fifita,158722,QB,ARIZONA,1,26.67,0,43,109,61.5,26,29,10.5,3.06,0,1,3.4,48.3,14,14,12.5,34,79.1,2,11,,,,,70.9,63.5,76.3,,60.0,,66.3,,,0,1,34,28.6,77.7,11.8,4,1,0,3,2,0,0.0,186,6.4,66.7,27,30,9.5,2.86,0,1,3.3,53.3,16,16,11.1,38,88.4,2,11,,,,,71.0,63.7,76.6,,59.8,,66.3,,,0,1,38,31.3,69.4,13.2,5,3,0,3,1,0,0.0,185,6.2,80.0,5,5,-0.8,2.82,0,0,0.0,80.0,4,0,0.0,5,11.6,0,2,,,,,63.8,65.2,68.1,,64.9,,,,,0,0,5,,138.8,0.0,0,0,0,0,1,0,0.0,39,7.8,0,100.0,6,6,-3.5,2.08,0,0,0.0,100.0,6,2,0.0,9,20.9,0,2,,,,,65.1,65.2,69.8,,63.9,,61.6,,,0,0,9,50.0,93.1,11.1,1,2,0,0,0,0,0.0,38,6.3,1.63
