player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Daniel Richardson,97103,QB,FAU,1,-34.91,0,46,165,70.0,30,32,10.5,2.56,1,1,3.1,62.5,20,14,4.8,41,89.1,1,5,,,,33.8,45.4,76.5,,52.3,,,39.0,,,0,1,42,35.7,57.4,12.2,5,3,1,0,0,3,7.1,125,3.9,80.8,26,29,6.5,2.36,1,0,0.0,72.4,21,12,0.0,34,73.9,0,6,,,,29.7,51.2,76.0,,56.0,,,48.9,,,1,0,35,41.7,81.1,14.7,5,0,1,0,0,1,2.9,130,4.5,50.0,8,8,17.3,2.77,0,1,12.5,37.5,3,3,25.0,12,26.1,1,1,,,,65.8,44.3,70.7,,50.6,,,50.3,,,0,1,12,0.0,6.3,0.0,0,3,0,0,0,2,16.7,21,2.6,0,100.0,4,5,-2.0,1.7,0,0,0.0,80.0,4,1,0.0,5,10.9,0,2,,,,63.8,62.1,68.1,,61.9,,,,,,1,0,5,0.0,88.3,0.0,0,0,0,0,0,0,0.0,26,5.2,-1.85
Hank Bachmeier,101284,QB,LA TECH,1,26.36,0,46,208,71.9,32,34,14.6,2.9,0,7,20.6,61.8,21,10,8.7,36,78.3,2,12,,,,70.1,93.9,76.3,,94.6,60.0,,53.6,,,0,2,36,20.0,73.2,5.6,2,0,0,2,0,1,2.8,360,10.6,71.9,32,33,11.9,2.68,0,5,15.2,63.6,21,8,8.7,34,73.9,2,9,,,,70.0,92.3,76.2,,93.1,60.0,,53.6,,,0,2,34,12.5,64.5,2.9,1,0,0,1,0,1,2.9,274,8.3,100.0,9,10,6.3,2.75,0,2,20.0,90.0,9,2,0.0,12,26.1,0,4,,,,65.8,85.8,70.7,,90.2,,,56.7,,,0,0,12,50.0,114.2,8.3,1,1,0,1,0,0,0.0,114,11.4,0,100.0,9,9,-3.1,1.96,0,0,0.0,100.0,9,0,0.0,10,21.7,0,1,,,,65.4,62.2,70.1,,67.2,,,56.7,,,0,0,10,,79.6,0.0,0,1,0,0,0,0,0.0,28,3.1,3.1
Graham Mertz,97994,QB,FLORIDA,1,21.1,0,45,163,70.0,30,34,8.1,2.71,3,3,8.3,61.8,21,14,0.0,40,88.9,0,15,,,,33.8,59.3,29.1,,61.4,,,55.9,,,0,0,43,28.6,88.4,10.0,4,2,1,0,0,2,4.7,284,8.4,70.8,24,28,4.9,2.21,3,2,6.7,60.7,17,9,0.0,31,68.9,0,10,,,,29.4,50.6,25.8,,51.0,,,58.8,,,0,0,34,22.2,91.2,6.5,2,1,1,0,1,2,5.9,179,6.4,81.8,11,11,9.9,3.14,0,1,9.1,81.8,9,5,0.0,14,31.1,0,7,,,,66.0,78.4,71.2,,81.3,,,57.3,,,0,0,14,40.0,116.7,14.3,2,1,0,0,0,0,0.0,132,12.0,0,100.0,5,5,-3.0,0.84,0,0,0.0,100.0,5,0,0.0,5,11.1,0,2,,,,63.8,65.8,68.1,,65.5,,,,,,0,0,5,,128.8,0.0,0,0,0,0,1,0,0.0,27,5.4,5.61
Keyone Jenkins,170403,QB,FIU,1,-7.41,0,45,166,66.7,27,29,9.8,2.36,1,1,3.1,62.1,18,10,0.0,38,84.4,0,9,,,,16.3,53.0,76.8,,54.4,,,54.4,,,0,0,41,50.0,81.4,13.2,5,4,1,0,0,5,12.2,192,6.6,69.2,26,27,9.3,2.3,0,1,3.6,63.0,17,6,5.6,33,73.3,1,9,,,,28.9,62.0,76.3,,63.8,,,56.1,,,0,0,34,50.0,84.5,9.1,3,3,1,0,0,3,8.8,194,7.2,75.0,8,9,1.9,2.11,1,0,0.0,55.6,5,5,16.7,12,26.7,1,2,,,,10.2,40.8,71.2,,42.5,,,57.3,,,0,0,14,40.0,63.2,16.7,2,1,0,0,0,2,14.3,32,3.6,0,85.7,7,7,-1.0,1.61,0,0,0.0,57.1,4,1,33.3,7,15.6,2,2,,,,64.6,66.7,69.1,,66.4,,,,,,0,0,7,0.0,69.9,0.0,0,0,0,0,0,0,0.0,34,4.9,-3.63
Athan Kaliakmanis,144971,QB,MINNESOTA,1,-16.75,0,45,225,56.4,39,41,13.9,2.9,1,3,7.0,41.5,17,14,22.7,45,100.0,5,12,,,,70.3,72.3,77.0,,69.5,,,67.6,,,1,0,47,7.1,90.5,2.2,1,3,0,0,3,1,2.1,290,7.1,58.3,24,25,11.7,2.97,1,1,3.7,48.0,12,10,14.3,29,64.4,2,8,,,,69.3,78.3,76.1,,75.5,,,67.6,,,0,0,31,10.0,84.6,3.4,1,3,0,0,1,0,0.0,175,7.0,53.3,15,16,17.6,2.78,0,2,12.5,31.3,5,4,37.5,16,35.6,3,4,,,,66.5,56.8,71.6,,56.6,,,,,,1,0,16,0.0,97.7,0.0,0,0,0,0,2,1,6.3,115,7.2,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.19
Jiya Wright,77688,QB,LA MONROE,1,-29.63,0,45,209,56.7,30,31,11.0,2.78,0,1,3.1,51.6,16,17,5.9,40,88.9,1,11,,,,39.1,52.1,0.0,,58.4,,,51.2,,,1,0,41,47.1,93.5,20.0,8,1,0,0,2,0,0.0,200,6.5,70.4,27,27,6.6,2.54,0,0,0.0,63.0,17,12,10.5,35,77.8,2,9,,,,36.5,51.0,0.0,,58.2,,,51.2,,,0,0,36,58.3,92.2,20.0,7,1,0,0,1,0,0.0,164,6.1,37.5,8,9,17.8,3.18,0,1,11.1,33.3,3,5,0.0,10,22.2,0,3,,,,65.4,62.9,70.1,,62.6,,,,,,1,0,10,20.0,103.5,10.0,1,0,0,0,1,0,0.0,79,8.8,0,100.0,5,5,-1.8,1.88,0,0,0.0,80.0,4,0,20.0,5,11.1,1,1,,,,63.8,65.6,68.1,,65.4,,,,,,0,0,5,,102.5,0.0,0,0,0,0,0,0,0.0,43,8.6,2.71
Jacob Zeno,98014,QB,UAB,1,6.25,0,44,321,70.4,27,28,10.7,3.44,0,2,6.9,60.7,17,9,10.5,36,81.8,2,10,,,,68.8,54.6,76.5,,58.4,,,48.9,,,1,2,37,44.4,51.5,11.1,4,4,0,0,0,2,5.4,192,6.9,74.2,31,32,7.3,3.04,0,2,6.1,68.8,22,7,4.3,40,90.9,1,8,,,,69.1,54.3,76.7,,57.9,,,48.9,,,1,2,41,57.1,52.9,10.0,4,4,0,0,0,2,4.9,150,4.7,100.0,4,4,11.5,3.2,0,0,0.0,75.0,3,3,25.0,4,9.1,1,2,,,,63.3,70.7,67.4,,70.4,,,,,,0,0,4,0.0,116.7,0.0,0,0,0,0,0,0,0.0,56,14.0,0,100.0,8,8,-2.3,1.34,0,0,0.0,100.0,8,1,0.0,8,18.2,0,0,,,,64.9,67.2,69.5,,66.9,,,,,,0,0,8,0.0,79.2,0.0,0,0,0,0,0,0,0.0,14,1.8,9.31
Taulia Tagovailoa,97271,QB,MARYLAND,1,18.63,0,44,215,72.4,29,32,9.3,2.95,2,2,5.9,62.5,20,12,4.8,36,81.8,1,12,,,,69.3,69.1,21.9,,64.0,,,74.9,,,0,1,38,8.3,85.5,2.8,1,3,0,1,1,1,2.6,261,8.2,74.2,31,34,5.6,2.66,2,0,0.0,64.7,22,9,4.3,37,84.1,1,11,,,,69.3,59.6,21.9,,52.0,,,79.9,,,0,1,38,11.1,75.4,2.7,1,2,0,1,1,1,2.6,178,5.2,83.3,6,6,13.7,3.13,0,2,28.6,83.3,5,3,0.0,7,15.9,0,2,,,,64.9,91.3,69.5,,92.9,,,57.3,,,0,0,8,0.0,118.8,0.0,0,1,0,0,0,0,0.0,105,17.5,0,87.5,8,8,-1.9,1.75,0,0,0.0,87.5,7,0,0.0,8,18.2,0,1,,,,64.9,67.3,69.5,,67.0,,,,,,0,0,8,,79.2,0.0,0,0,0,0,0,0,0.0,22,2.8,12.26
Michael Penix Jr.,82134,QB,WASHINGTON,1,8.8,0,44,340,57.6,33,35,14.5,2.89,0,4,10.0,51.4,18,16,5.3,37,84.1,1,12,,,,38.5,67.7,26.5,,68.5,57.0,,63.1,,,0,0,42,12.5,97.0,5.4,2,0,0,2,2,1,2.4,277,7.9,62.1,29,31,12.2,2.59,0,3,8.6,54.8,17,13,5.6,32,72.7,1,10,,,,35.2,68.0,23.6,,68.7,,,63.1,,,0,0,36,7.7,90.8,3.1,1,0,0,2,1,1,2.8,240,7.7,70.0,10,11,10.9,3.11,0,1,8.3,63.6,7,5,0.0,12,27.3,0,4,,,,66.0,63.8,71.2,,64.5,57.0,,,,,0,0,13,20.0,120.3,8.3,1,0,0,1,1,0,0.0,92,8.4,0,100.0,6,7,-2.5,1.89,0,0,0.0,85.7,6,2,0.0,7,15.9,0,2,,,,64.6,64.2,69.1,,63.9,,,,,,0,0,7,0.0,99.4,0.0,0,0,0,1,0,0,0.0,55,7.9,0.62
Gunnar Watson,83570,QB,TROY,1,-12.23,0,42,318,65.5,29,31,11.0,2.84,0,1,3.0,54.8,17,9,10.5,34,81.0,2,14,,,,68.7,66.6,19.0,,65.9,,,64.3,,,0,0,36,22.2,109.9,5.9,2,1,0,2,4,0,0.0,168,5.4,73.3,15,16,3.2,2.67,0,0,0.0,68.8,11,7,0.0,18,42.9,0,5,,,,67.1,53.5,8.6,,55.4,,,,,,0,0,20,28.6,82.8,11.1,2,0,0,1,0,0,0.0,90,5.6,68.2,22,23,11.2,2.53,0,1,4.3,56.5,13,4,13.3,24,57.1,2,11,,,,67.6,75.1,73.0,,72.3,,,64.3,,,0,0,24,0.0,112.1,0.0,0,1,0,1,4,0,0.0,129,5.6,0,87.5,8,8,-3.3,1.51,0,0,0.0,87.5,7,2,0.0,8,19.0,0,2,,,,64.9,61.9,69.5,,61.6,,,,,,0,0,8,0.0,93.2,0.0,0,0,0,0,0,0,0.0,51,6.4,-0.02
