player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Jaylen Henderson,146054,QB,TEXAS A&M,1,47,100.0,8,8,7.0,3.32,0,0,0.0,87.5,7,4,12.5,10,21.3,1,5,,,,,65.4,68.4,70.1,68.8,,60.5,0,0,10,0.0,153.6,0.0,0,2,0,0,1,0,0.0,91,11.4,0,312,71.4,52.8,57.9,49.6,84.0,25,27,6.0,3.42,0,0,0.0,66.7,18,12,14.3,37,78.7,3,9,,,,,68.9,46.3,74.6,53.7,,44.5,0,1,38,25.0,85.9,8.1,3,6,0,2,1,1,2.6,203,7.5,88.9,27,28,5.4,2.44,0,0,0.0,71.4,20,0,16.7,31,66.0,4,10,,,,,68.3,65.1,73.9,68.0,,53.1,0,0,31,,121.1,0.0,0,2,0,1,2,0,0.0,240,8.6,0,83.3,6,7,9.8,5.26,0,0,0.0,71.4,5,16,0.0,16,34.0,0,4,,,,,66.7,35.1,71.8,39.1,,49.5,0,1,17,18.8,54.2,18.8,3,6,0,1,0,1,5.9,54,7.7
Brayden Schager,146078,QB,HAWAII,1,47,70.0,10,11,7.6,2.34,0,0,0.0,54.5,6,5,14.3,12,25.5,1,3,,,,,66.0,52.1,71.2,54.7,60.0,57.3,0,0,13,0.0,76.3,0.0,0,1,0,1,0,0,0.0,76,6.9,0,180,71.5,79.1,72.9,76.4,86.7,30,33,8.2,2.74,0,0,0.0,72.7,24,6,7.7,35,74.5,2,13,,,,,68.8,83.2,74.5,78.5,,69.0,0,0,37,16.7,103.6,2.9,1,1,1,2,1,0,0.0,244,7.4,85.3,34,35,7.8,2.35,0,0,0.0,74.3,26,0,10.3,36,76.6,3,13,,,,,68.7,82.0,74.5,77.5,60.0,69.0,0,0,36,,102.6,0.0,0,1,1,0,1,0,0.0,244,7.0,0,66.7,6,9,9.5,3.57,0,0,0.0,44.4,4,11,0.0,11,23.4,0,3,,,,,66.2,54.5,71.2,56.7,,57.3,0,0,14,9.1,74.3,9.1,1,1,0,3,0,0,0.0,76,8.4
Frank Harris,60586,QB,UTSA,1,46,75.0,12,13,4.9,2.23,1,0,0.0,61.5,8,6,11.1,13,28.3,1,1,,,,,66.4,35.8,71.4,36.0,,,0,2,15,0.0,26.3,0.0,0,0,0,0,0,1,6.7,32,2.5,0,331,71.8,53.7,48.1,66.6,75.0,24,26,4.3,3.23,0,0,0.0,65.4,17,11,5.6,33,71.7,1,9,,,,,68.6,56.6,74.4,58.0,56.7,56.6,1,0,35,18.2,96.0,6.1,2,4,0,1,1,0,0.0,166,6.4,84.0,25,26,4.4,2.43,1,0,0.0,73.1,19,0,9.5,29,63.0,2,8,,,,,68.4,68.6,74.0,67.3,,62.8,0,1,32,,85.7,0.0,0,2,0,0,1,0,0.0,162,6.2,1,54.5,11,13,4.8,3.82,0,0,0.0,46.2,6,17,0.0,17,37.0,0,2,,,,,66.8,27.9,72.2,28.1,56.7,53.1,1,1,18,11.8,21.0,11.8,2,2,0,1,0,1,5.6,36,2.8
Nicholas Vattiato,145302,QB,MIDDLE TN,1,46,100.0,4,4,1.5,2.78,0,0,0.0,100.0,4,2,0.0,6,13.0,0,3,,,,,64.2,69.5,68.6,76.4,,56.7,0,0,6,50.0,102.1,16.7,1,1,0,0,0,0,0.0,34,8.5,0,224,70.7,61.6,62.4,58.6,84.4,32,33,5.8,2.89,0,1,2.9,75.8,25,8,7.4,40,87.0,2,9,,,,,69.1,58.1,74.9,58.1,55.9,60.0,0,3,41,37.5,53.5,7.5,3,4,0,1,0,2,4.9,207,6.3,84.8,33,33,4.9,2.45,0,1,2.9,78.8,26,0,7.1,36,78.3,2,9,,,,,68.8,59.0,74.6,60.7,55.9,56.3,0,3,37,,55.4,0.0,0,3,0,0,0,2,5.4,211,6.4,0,100.0,3,4,9.3,4.41,0,0,0.0,75.0,3,10,0.0,10,21.7,0,3,,,,,65.4,64.8,70.1,65.9,,59.4,0,0,10,40.0,95.8,40.0,4,2,0,1,0,0,0.0,30,7.5
Grant Wilson,143041,QB,DOMINION,1,44,77.8,9,11,11.8,2.59,2,1,8.3,54.5,6,7,14.3,16,36.4,1,2,,,,,67.0,74.4,72.2,71.2,,64.2,0,0,19,71.4,73.3,31.3,5,0,0,0,0,0,0.0,68,6.2,0,263,71.1,70.3,70.1,61.0,54.5,22,22,18.0,3.63,0,2,8.3,40.9,9,7,25.0,28,63.6,3,5,,,,,68.2,62.2,73.7,66.6,,49.6,0,1,30,42.9,58.9,10.7,3,3,0,0,1,0,0.0,140,6.4,65.4,26,28,17.1,2.89,2,3,10.3,46.4,13,0,23.5,30,68.2,4,6,,,,,68.4,76.2,74.0,79.0,,52.3,0,1,32,,67.0,0.0,0,2,0,0,1,0,0.0,196,7.0,1,40.0,5,5,11.8,4.03,0,0,0.0,40.0,2,14,0.0,14,31.8,0,1,,,,,66.7,50.7,71.8,48.5,,61.6,0,0,17,57.1,47.9,57.1,8,1,0,0,0,0,0.0,12,2.4
Jaylen Raynor,172203,QB,ARK STATE,1,44,60.0,10,12,9.8,3.19,1,0,0.0,50.0,6,8,0.0,15,34.1,0,4,,,,,66.8,43.7,72.0,41.3,,61.7,0,1,18,12.5,61.5,6.7,1,2,0,1,1,1,5.6,71,5.9,0,113,41.6,46.3,46.0,56.3,61.5,26,26,14.9,2.96,0,1,3.6,50.0,13,11,18.8,29,65.9,3,10,,,,,68.3,54.6,73.9,52.4,,64.3,0,0,31,18.2,74.5,6.9,2,1,0,0,0,2,6.5,192,7.4,68.2,22,23,13.8,2.72,1,0,0.0,56.5,13,0,13.3,25,56.8,2,9,,,,,68.0,59.7,73.5,54.8,,71.8,0,0,28,,94.8,0.0,0,2,0,0,1,0,0.0,172,7.5,0,50.0,14,15,13.1,3.46,0,1,5.9,40.0,6,19,14.3,19,43.2,1,5,,,,,67.2,38.1,72.5,40.0,,56.2,0,1,21,15.8,32.9,15.8,3,1,0,1,0,3,14.3,91,6.1
Drake Maye,143969,QB,N CAROLINA,1,43,75.0,8,9,11.5,2.53,0,1,9.1,66.7,6,4,0.0,10,23.3,0,5,,,,,65.8,80.6,70.7,72.4,,69.4,0,0,12,0.0,131.3,0.0,0,1,0,1,1,0,0.0,79,8.8,0,245,40.3,64.9,65.8,61.5,70.4,27,29,9.1,3.06,0,0,0.0,55.2,16,7,15.8,33,76.7,3,11,,,,,68.7,57.6,0.0,60.9,,56.6,1,2,36,14.3,56.0,3.0,1,3,0,1,1,0,0.0,175,6.0,65.5,29,29,10.1,2.84,0,1,3.2,55.2,16,0,15.8,32,74.4,3,12,,,,,68.6,65.6,0.0,63.6,,69.2,0,2,35,,70.9,0.0,0,3,0,0,2,0,0.0,199,6.9,1,100.0,6,9,7.7,3.22,0,0,0.0,66.7,6,11,0.0,11,25.6,0,4,,,,,66.0,64.8,71.0,67.6,,57.3,1,0,13,9.1,83.1,9.1,1,1,0,2,0,0,0.0,55,6.1
Nate Yarnell,144037,QB,PITTSBURGH,1,42,66.7,9,9,15.2,2.48,0,1,11.1,66.7,6,2,0.0,10,23.8,0,4,,,,,65.4,57.9,70.1,57.8,,,0,1,10,50.0,55.6,10.0,1,0,0,0,0,1,10.0,81,9.0,0,268,71.9,68.9,73.4,56.7,80.0,25,27,8.6,3.15,0,2,7.1,70.4,19,9,5.0,32,76.2,1,9,,,,,68.4,70.9,0.0,78.0,,50.0,0,0,33,22.2,113.8,6.3,2,3,0,2,2,0,0.0,184,6.8,78.6,28,28,10.3,2.66,0,3,10.3,75.0,21,0,4.5,31,73.8,1,13,,,,,68.4,84.5,74.0,89.5,,50.0,0,0,32,,124.4,0.0,0,3,0,0,2,0,0.0,242,8.6,1,66.7,6,8,10.8,3.92,0,0,0.0,50.0,4,11,0.0,11,26.2,0,0,,,,,65.4,27.9,0.0,29.3,,,0,1,11,27.3,16.7,27.3,3,0,0,2,0,1,9.1,23,2.9
Bo Nix,97790,QB,OREGON,1,42,78.6,14,14,12.6,2.73,0,1,7.1,78.6,11,6,0.0,14,33.3,0,9,,,,,66.2,91.8,71.2,91.5,,,0,0,14,0.0,140.2,0.0,0,0,0,0,1,0,0.0,167,11.9,0,264,71.2,90.9,90.6,67.2,92.0,25,26,3.1,2.51,0,0,0.0,84.6,22,4,4.3,28,66.7,1,11,,,,,68.0,79.7,73.5,79.2,,62.1,0,0,28,0.0,111.5,0.0,0,2,0,1,1,0,0.0,200,7.7,87.5,32,32,5.2,2.3,0,0,0.0,84.4,27,0,3.6,32,76.2,1,14,,,,,68.4,82.1,74.0,81.2,,,0,0,32,,109.6,0.0,0,0,0,0,1,0,0.0,250,7.8,0,85.7,7,8,12.4,3.48,0,1,12.5,75.0,6,10,0.0,10,23.8,0,6,,,,,65.4,92.3,70.1,92.8,,62.1,0,0,10,0.0,156.3,0.0,0,2,0,1,1,0,0.0,117,14.6
AJ Padgett,163006,QB,RICE,1,41,66.7,12,13,7.3,2.23,1,0,0.0,61.5,8,4,0.0,13,31.7,0,6,,,,,66.2,57.2,71.2,57.0,,,0,0,14,0.0,90.2,0.0,0,0,0,0,0,0,0.0,115,8.8,0,275,71.3,57.0,58.4,57.9,69.6,23,24,8.3,2.69,0,0,0.0,66.7,16,8,0.0,28,68.3,0,8,,,,,68.2,59.3,73.7,59.7,,58.5,0,1,30,12.5,104.2,3.6,1,3,0,1,3,3,10.0,140,5.8,73.1,26,27,6.6,2.24,1,0,0.0,70.4,19,0,0.0,29,70.7,0,11,,,,,68.3,60.7,73.9,59.7,,61.8,0,1,31,,89.1,0.0,0,2,0,0,1,2,6.5,204,7.6,1,55.6,9,10,11.8,3.28,0,0,0.0,50.0,5,12,0.0,12,29.3,0,3,,,,,66.0,54.7,71.0,56.9,,57.3,0,0,13,8.3,104.6,8.3,1,1,0,1,2,1,7.7,51,5.1
