player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Daniel Richardson,97103,QB,C MICHIGAN,1,51,71.4,14,16,7.7,1.96,2,1,6.3,62.5,10,8,0.0,16,31.4,0,7,,,,,66.5,71.8,71.6,71.3,,,,0,0,16,0.0,109.9,0.0,0,0,0,0,1,0,0.0,134,8.4,0,134,39.0,60.9,58.7,64.3,60.0,30,30,8.8,2.71,0,2,5.9,50.0,15,15,16.7,35,68.6,3,6,,,,,29.9,54.0,74.7,51.8,,,64.3,0,0,39,26.7,71.3,11.4,4,1,0,0,1,3,7.7,118,3.9,61.5,26,28,7.3,2.23,2,2,6.5,46.4,13,0,18.8,28,54.9,3,6,,,,,68.3,64.9,73.9,64.5,,,,0,0,31,,70.4,0.0,0,0,0,0,1,1,3.2,119,4.3,0,66.7,18,18,10.2,2.77,0,1,5.3,66.7,12,23,0.0,23,45.1,0,7,,,,,25.2,54.4,73.0,51.2,,,64.3,0,0,24,17.4,106.9,17.4,4,1,0,0,1,2,8.3,133,7.4
JT Daniels,83578,QB,W VIRGINIA,1,51,73.3,15,16,5.7,2.57,0,0,0.0,62.5,10,7,9.1,18,35.3,1,6,,,,,67.1,63.5,72.4,63.1,,,,1,0,20,28.6,81.5,11.1,2,0,0,0,0,0,0.0,105,6.6,0,343,70.3,65.6,63.4,63.3,67.7,31,32,9.8,2.54,1,0,0.0,59.4,19,6,9.5,33,64.7,2,6,,,,,68.5,63.0,74.2,62.7,,,,0,0,34,16.7,81.3,3.0,1,0,0,0,1,0,0.0,148,4.6,70.3,37,38,7.9,2.2,1,0,0.0,63.2,24,0,7.7,38,74.5,2,10,,,,,69.0,69.4,74.8,68.8,,,,0,0,40,,84.1,0.0,0,0,0,0,1,0,0.0,188,4.9,0,66.7,9,10,10.9,3.55,0,0,0.0,50.0,5,13,16.7,13,25.5,1,2,,,,,66.2,49.5,71.2,49.5,,,,1,0,14,23.1,70.8,23.1,3,0,0,0,0,0,0.0,65,6.5
Devin Leary,77628,QB,NC STATE,1,51,87.5,8,9,9.5,2.41,1,1,10.0,77.8,7,2,0.0,10,19.6,0,3,,,,,65.6,77.7,70.7,77.9,60.0,,,0,0,11,50.0,127.3,10.0,1,0,0,0,1,0,0.0,51,5.7,0,248,43.8,59.0,62.3,48.9,69.4,36,38,5.9,2.69,0,1,2.4,55.3,21,11,16.0,41,80.4,4,13,,,,,69.3,54.7,75.1,55.6,,,57.0,0,1,44,18.2,58.4,4.9,2,1,0,2,0,2,4.5,194,5.1,75.0,36,37,5.7,2.29,0,2,5.1,64.9,24,0,11.1,38,74.5,3,13,,,,,69.0,64.0,74.8,64.9,,,57.0,0,1,40,,76.5,0.0,0,1,0,1,1,2,5.0,201,5.4,0,62.5,8,10,10.6,3.66,1,0,0.0,40.0,4,13,20.0,13,25.5,1,3,,,,,66.4,55.3,71.6,55.4,60.0,,,0,0,15,23.1,53.8,23.1,3,0,0,1,0,0,0.0,44,4.4
Payton Thorne,101629,QB,MICH STATE,1,49,76.9,13,13,4.8,2.73,0,1,6.7,46.2,6,3,40.0,14,28.6,4,5,,,,,66.5,80.8,71.6,77.7,,,64.2,0,0,16,0.0,82.2,0.0,0,1,0,0,1,0,0.0,50,3.8,1,223,69.8,62.2,63.4,54.9,82.8,29,31,6.0,3.23,0,0,0.0,67.7,21,4,12.5,35,71.4,3,8,,,,,68.8,50.5,74.5,54.2,,,49.5,0,0,37,25.0,81.5,2.9,1,3,0,2,0,1,2.7,171,5.5,84.2,38,40,5.0,2.8,0,1,2.4,65.0,26,0,18.8,42,85.7,6,11,,,,,69.3,58.4,75.1,60.4,,,53.1,0,0,44,,86.1,0.0,0,2,0,2,1,1,2.3,207,5.2,1,50.0,4,4,12.0,4.8,0,0,0.0,25.0,1,7,50.0,7,14.3,1,2,,,,,65.1,69.8,69.8,70.4,,,60.7,0,0,9,14.3,41.7,14.3,1,2,0,0,0,0,0.0,14,3.5
Kedon Slovis,100580,QB,PITTSBURGH,1,47,66.7,18,22,9.4,3.0,1,1,4.3,54.5,12,13,0.0,22,46.8,0,6,,,,,67.5,58.5,72.8,58.3,,,,2,1,23,0.0,82.0,0.0,0,0,0,1,2,3,13.0,122,5.5,0,268,70.3,70.9,69.0,64.0,80.0,20,24,11.4,2.99,0,1,4.2,58.3,14,8,12.5,25,53.2,2,9,,,,,67.7,77.0,73.1,76.4,,,,1,0,25,12.5,96.4,4.0,1,0,0,3,1,0,0.0,183,7.6,84.6,26,26,10.0,2.67,0,1,3.8,76.9,20,0,9.1,26,55.3,2,12,,,,,67.8,87.6,73.3,86.6,,,,0,0,26,,130.8,0.0,0,0,0,0,2,0,0.0,243,9.3,1,50.0,12,20,11.3,3.39,1,1,4.8,30.0,6,21,0.0,21,44.7,0,3,,,,,67.4,43.5,72.7,43.5,,,,3,1,22,4.8,35.8,4.8,1,0,0,4,1,3,13.6,62,3.1
Connor Bazelak,99135,QB,INDIANA,1,47,53.8,13,14,7.9,2.23,0,0,0.0,50.0,7,6,0.0,15,31.9,0,5,,,,,66.7,47.7,71.8,47.7,,,,0,1,17,16.7,43.2,6.7,1,0,0,1,0,0,0.0,98,7.0,0,190,70.4,53.2,54.0,59.9,57.1,28,31,8.4,2.97,1,1,3.1,48.4,15,11,6.3,32,68.1,1,5,,,,,68.5,59.7,74.1,59.4,,,,0,0,33,9.1,70.0,3.1,1,0,0,2,1,1,3.0,125,4.0,65.5,29,30,8.7,2.38,1,1,3.1,60.0,18,0,5.3,30,63.8,1,10,,,,,68.4,61.1,74.0,60.8,,,,0,0,32,,91.4,0.0,0,0,0,0,1,1,3.1,203,6.8,3,33.3,12,15,7.2,3.36,0,0,0.0,26.7,4,17,0.0,17,36.2,0,0,,,,,66.8,45.5,72.0,45.6,,,,0,1,18,11.8,11.8,11.8,2,0,0,3,0,0,0.0,20,1.3
Davis Brin,77642,QB,TULSA,1,45,71.4,7,7,9.9,2.47,0,0,0.0,57.1,4,7,20.0,11,24.4,1,3,,,,,20.6,40.9,71.2,41.1,,,,0,0,14,57.1,72.3,36.4,4,0,0,0,0,2,14.3,38,5.4,0,320,24.1,42.9,42.3,,57.7,26,29,12.0,2.55,0,4,11.8,48.3,14,14,6.7,34,75.6,1,8,,,,,31.3,46.9,74.7,47.0,,,,2,2,39,35.7,42.2,14.7,5,0,0,1,0,4,10.3,199,6.9,58.3,24,24,10.8,2.26,0,3,10.7,50.0,12,0,14.3,24,53.3,2,7,,,,,68.0,66.9,73.5,66.4,,,,0,1,28,,54.3,0.0,0,0,0,0,0,1,3.6,161,6.7,0,66.7,9,12,13.6,2.85,0,1,6.3,50.0,6,21,0.0,21,46.7,0,4,,,,,16.2,26.9,73.1,27.1,,,,2,1,25,42.9,35.4,42.9,9,0,0,1,0,5,20.0,76,6.3
DJ Irons,145585,QB,AKRON,1,45,66.7,9,9,8.6,2.56,0,1,9.1,66.7,6,8,0.0,14,31.1,0,3,,,,,66.5,42.2,71.6,44.0,,,57.3,0,1,16,50.0,81.5,28.6,4,1,0,0,1,1,6.3,57,6.3,0,102,47.5,69.0,54.9,78.3,68.2,22,25,12.5,3.0,0,1,3.7,56.0,14,16,6.7,31,68.9,1,11,,,,,28.3,68.2,74.1,63.3,,,70.1,0,0,33,12.5,103.3,6.5,2,4,1,2,2,1,3.0,167,6.7,66.7,18,19,8.7,2.09,0,0,0.0,63.2,12,0,0.0,21,46.7,0,8,,,,,67.5,62.8,72.8,62.5,,,60.5,0,0,23,,116.3,0.0,0,2,1,0,2,0,0.0,121,6.4,0,69.2,13,15,15.0,3.54,0,2,11.8,53.3,8,24,11.1,24,53.3,1,6,,,,,26.0,54.5,73.3,49.7,,,67.5,0,1,26,25.0,69.6,25.0,6,3,0,2,1,2,7.7,103,6.9
Blake Shapen,122282,QB,BAYLOR,1,45,69.2,13,14,6.5,2.31,1,0,0.0,57.1,8,4,11.1,15,33.3,1,3,,,,,66.4,61.3,71.4,61.1,,,,0,0,15,25.0,109.5,6.7,1,0,0,0,1,0,0.0,121,8.6,0,118,69.8,76.1,80.0,50.3,92.3,26,26,7.8,3.37,0,2,7.4,76.9,20,8,16.7,30,66.7,4,10,,,,,68.3,79.2,73.9,86.3,,,45.9,0,2,31,12.5,82.9,3.3,1,3,0,0,1,1,3.2,224,8.6,86.2,29,30,7.1,2.88,1,1,3.2,76.7,23,0,8.0,33,73.3,2,12,,,,,68.5,75.5,74.2,81.7,,,45.9,0,2,34,,87.5,0.0,0,3,0,0,1,1,2.9,275,9.2,0,80.0,10,10,8.1,3.4,0,1,10.0,50.0,5,12,37.5,12,26.7,3,1,,,,,65.8,66.6,70.7,66.3,,,,0,0,12,16.7,106.3,16.7,2,0,0,0,1,0,0.0,70,7.0
Stetson Bennett,60387,QB,GEORGIA,1,45,80.0,15,20,7.5,2.5,1,0,0.0,60.0,12,7,0.0,21,46.7,0,10,,,,,67.4,75.6,72.7,75.0,,,,3,0,22,14.3,85.4,4.8,1,0,0,1,0,0,0.0,160,8.0,0,173,40.3,67.6,69.3,52.1,56.5,23,23,9.8,2.38,0,2,8.0,52.2,12,3,7.7,24,53.3,1,5,,,,,67.8,61.6,73.3,61.3,,,,0,0,26,33.3,73.1,4.2,1,0,0,0,0,0,0.0,152,6.6,61.8,34,35,8.6,2.21,1,2,5.6,60.0,21,0,0.0,35,77.8,0,13,,,,,68.7,66.5,74.4,66.0,,,,0,0,36,,84.6,0.0,0,0,0,0,0,0,0.0,273,7.8,0,100.0,4,8,11.5,3.24,0,0,0.0,37.5,3,10,25.0,10,22.2,1,2,,,,,65.8,73.2,70.7,72.8,,,,3,0,12,20.0,53.6,20.0,2,0,0,1,0,0,0.0,39,4.9
